Type,Category,Feature_group,Feature,Vol_1000km3,Vol_km3,Vol_m3,Vol_km3_log10,Vol_row,Vol_prefix,row_start,row_end
Flux,Natural Processes,Land precipitation,Land precipitation: rain,98.5,98500,98500000000000,4.993436230497612,4,9.85,10000,100000
Flux,Natural Processes,Ocean to land atmospheric flux,Ocean to land atmospheric flux,46,46000,46000000000000,4.662757831681574,4,4.6,10000,100000
Flux,Natural Processes,Land evapotranspiration,Transpiration,39.4,39400,39400000000000,4.595496221825574,4,3.94,10000,100000
Flux,Natural Processes,Land evapotranspiration,Evaporation,29.5,29500,29500000000000,4.469822015978163,4,2.95,10000,100000
Flux,Natural Processes,River discharge to ocean,River discharge to ocean: Subsurface flow,22,22000,22000000000000,4.342422680822207,4,2.2,10000,100000
Flux,Natural Processes,River discharge to ocean,River discharge to ocean: Surface runoff,14,14000,14000000000000,4.146128035678238,4,1.4,10000,100000
Flux,Natural Processes,Groundwater recharge,Groundwater recharge,13,13000,13000000000000,4.113943352306837,4,1.3,10000,100000
Flux,Natural Processes,Land precipitation,Land Precipitation: Snow,12.5,12500,12500000000000,4.096910013008056,4,1.25,10000,100000
Flux,Natural Processes,Groundwater discharge to ocean,Groundwater discharge to ocean,4.5,4500,4500000000000,3.6532125137753435,3,4.5,1000,10000
Flux,Natural Processes,Land ice discharge,Land ice discharge,3.1,3100,3100000000000,3.4913616938342726,3,3.1,1000,10000
Flux,Natural Processes,River discharge to endorheic basins,River discharge to endorheic basins,0.8,800,800000000000,2.9030899869919438,2,8,100,1000
Flux,Human Activity,Green water use,Green water use: Grazing,10,10000,10000000000000,4,4,1,10000,100000
Flux,Human Activity,Green water use,Green water use: Croplands,7.6,7600,7600000000000,3.8808135922807914,3,7.6,1000,10000
Flux,Human Activity,Blue water use,Blue water use: Agriculture,2.5,2500,2500000000000,3.3979400086720375,3,2.5,1000,10000
Flux,Human Activity,Green water use,Green water use: Forestry,0.96,960,960000000000,2.9822712330395684,2,9.6,100,1000
Flux,Human Activity,Blue water use,Blue water use: Industry,0.77,770,770000000000,2.886490725172482,2,7.7,100,1000
Flux,Human Activity,Grey water use,Grey water use: Agriculture,0.74,740,740000000000,2.8692317197309762,2,7.4,100,1000
Flux,Human Activity,Green water use,Green water use: Other,0.44,440,440000000000,2.6434526764861874,2,4.4,100,1000
Flux,Human Activity,Blue water use,Blue water use: Other,0.42000000000000004,420,420000000000,2.6232492903979003,2,4.2,100,1000
Flux,Human Activity,Grey water use,Grey water use: Industry,0.36,360,360000000000,2.5563025007672873,2,3.6,100,1000
Flux,Human Activity,Blue water use,Blue water use: Domestic,0.31,310,310000000000,2.4913616938342726,2,3.1,100,1000
Flux,Human Activity,Grey water use,Grey water use: Domestic,0.28,280,280000000000,2.4471580313422194,2,2.8,100,1000
Flux,Human Activity,Grey water use,Grey water use: Other,0.02,20,20000000000,1.3010299956639813,1,2,10,100
Pool,Examples,NA,Caspian Sea,NA,78200,78200000000000,4.893206753059848,4,7.82,10000,100000
Pool,Examples,NA,Lake Baikal,NA,23600,23600000000000,4.372912002970106,4,2.36,10000,100000
Pool,Examples,NA,Lake Superior,NA,11600,11600000000000,4.064457989226918,4,1.16,10000,100000
Pool,Examples,NA,Lake Vostok,NA,5400,5400000000000,3.7323937598229686,3,5.4,1000,10000
Pool,Examples,NA,Lake Michigan,NA,4920,4920000000000,3.69196510276736,3,4.92,1000,10000
Pool,Examples,NA,Grand canyon,NA,4167,4166800000000,3.619823500457278,3,4.167,1000,10000
Pool,Examples,NA,Lake Huron,NA,3540,3540000000000,3.5490032620257876,3,3.54,1000,10000
Pool,Examples,NA,Lake Victoria,NA,2700,2700000000000,3.4313637641589874,3,2.7,1000,10000
Pool,Examples,NA,Lake Ontario,NA,1710,1710000000000,3.2329961103921536,3,1.71,1000,10000
Pool,Examples,NA,Lake Titicaca,NA,893,893000000000,2.9508514588885464,2,8.93,100,1000
Pool,Examples,NA,Lake Erie,NA,480,480000000000,2.681241237375587,2,4.8,100,1000
Pool,Examples,NA,Lake Winnepeg,NA,284,284000000000,2.4533183400470375,2,2.84,100,1000
Pool,Examples,NA,Dead Sea,NA,147,147000000000,2.167317334748176,2,1.47,100,1000
Pool,Examples,NA,Lake Okeechobee,NA,5,5200000000,0.6989700043360189,0,5,1,10
Pool,Examples,NA,olympic swimming pool,NA,0,2500,-Inf,NA,NA,NA,NA
